carrier_id,carrier_plan_id,zero_eighteen,nineteen_twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight,twenty_nine,thirty,thirty_one,thirty_two,thirty_three,thirty_four,thirty_five,thirty_six,thirty_seven,thirty_eight,thirty_nine,forty,forty_one,forty_two,forty_three,forty_four,forty_five,forty_six,forty_seven,forty_eight,forty_nine,fifty,fifty_one,fifty_two,fifty_three,fifty_four,fifty_five,fifty_six,fifty_seven,fifty_eight,fifty_nine,sixty,sixty_one,sixty_two,sixty_three,sixty_four,sixty_five_plus
12,9522,198.68,198.68,351.99,351.99,351.99,351.99,353.4,360.44,368.89,382.62,393.88,417.27,426.09,434.92,440.43,446.31,449.25,452.2,455.14,458.08,463.96,489.84,499.03,507.85,520.12,535.45,553.46,574.92,599.07,626.67,653.88,768.37,802.35,839.78,877.64,918.51,959.38,1003.69,1048.44,1096.19,1119.85,1167.61,1208.91,1236.01,1270,1290.65,1290.65
12,9523,202.08,202.08,358.02,358.02,358.02,358.02,359.45,366.61,375.21,389.17,400.63,424.42,433.39,442.36,447.97,453.96,456.95,459.94,462.93,465.92,471.9,498.22,507.58,516.55,529.02,544.61,562.94,584.77,609.33,637.4,665.08,781.52,816.09,854.16,892.67,934.24,975.81,1020.88,1066.39,1114.96,1139.03,1187.6,1229.61,1257.17,1291.74,1312.74,1312.74
12,9524,167.7,167.7,297.1,297.1,297.1,297.1,298.29,304.23,311.36,322.95,332.46,352.2,359.65,367.09,371.75,376.71,379.19,381.68,384.16,386.64,391.61,413.45,421.21,428.65,439,451.95,467.15,485.27,505.65,528.94,551.91,648.54,677.23,708.82,740.77,775.27,809.77,847.17,884.93,925.24,945.21,985.52,1020.38,1043.26,1071.94,1089.36,1089.36
12,9525,190.78,190.78,337.99,337.99,337.99,337.99,339.34,346.1,354.22,367.4,378.21,400.67,409.14,417.62,422.91,428.56,431.38,434.21,437.03,439.86,445.5,470.35,479.18,487.65,499.43,514.15,531.45,552.06,575.24,601.74,627.87,737.8,770.44,806.38,842.73,881.97,921.22,963.77,1006.73,1052.59,1075.31,1121.16,1160.82,1186.84,1219.48,1239.3,1239.3
12,9526,150.73,150.73,267.05,267.05,267.05,267.05,268.12,273.46,279.87,290.28,298.83,316.57,323.26,329.96,334.14,338.6,340.84,343.07,345.3,347.53,351.99,371.62,378.6,385.29,394.59,406.23,419.89,436.18,454.5,475.43,496.08,582.93,608.72,637.12,665.84,696.84,727.85,761.47,795.41,831.64,849.6,885.83,917.16,937.72,963.51,979.17,979.17
12,9527,161.51,161.51,286.14,286.14,286.14,286.14,287.28,293.01,299.87,311.03,320.19,339.2,346.37,353.55,358.03,362.81,365.2,367.59,369.98,372.37,377.15,398.19,405.67,412.83,422.8,435.27,449.91,467.36,486.99,509.42,531.54,624.61,652.24,682.66,713.44,746.66,779.88,815.91,852.28,891.1,910.33,949.15,982.72,1004.76,1032.38,1049.16,1049.16
12,9528,261.32,261.32,462.97,462.97,462.97,462.97,464.82,474.08,485.19,503.24,518.06,548.82,560.43,572.03,579.28,587.02,590.89,594.76,598.63,602.49,610.23,644.26,656.36,667.96,684.09,704.25,727.95,756.18,787.94,824.23,860.03,1010.6,1055.31,1104.54,1154.33,1208.09,1261.84,1320.12,1378.97,1441.78,1472.9,1535.71,1590.03,1625.68,1670.38,1697.54,1697.54
12,9529,250.62,250.62,444.01,444.01,444.01,444.01,445.79,454.67,465.32,482.64,496.85,526.35,537.48,548.61,555.57,562.99,566.7,570.41,574.12,577.83,585.25,617.89,629.49,640.61,656.08,675.42,698.14,725.22,755.68,790.49,824.81,969.23,1012.1,1059.31,1107.07,1158.62,1210.18,1266.07,1322.51,1382.75,1412.6,1472.83,1524.93,1559.12,1601.99,1628.04,1628.04
12,9530,273.27,273.27,484.14,484.14,484.14,484.14,486.07,495.76,507.37,526.26,541.75,573.92,586.05,598.19,605.77,613.86,617.91,621.95,626,630.04,638.13,673.72,686.38,698.5,715.37,736.46,761.23,790.76,823.97,861.92,899.35,1056.82,1103.56,1155.04,1207.11,1263.33,1319.54,1380.49,1442.03,1507.71,1540.25,1605.93,1662.74,1700.02,1746.76,1775.16,1775.16
12,9531,251.28,251.28,445.18,445.18,445.18,445.18,446.97,455.87,466.55,483.92,498.16,527.74,538.9,550.06,557.03,564.47,568.19,571.91,575.63,579.35,586.79,619.52,631.15,642.3,657.81,677.2,699.99,727.13,757.67,792.58,826.99,971.79,1014.77,1062.11,1109.99,1161.68,1213.38,1269.42,1326.01,1386.4,1416.33,1476.73,1528.96,1563.24,1606.23,1632.33,1632.33
12,9532,209.04,209.04,370.34,370.34,370.34,370.34,371.82,379.23,388.12,402.56,414.41,439.02,448.3,457.58,463.38,469.57,472.67,475.76,478.86,481.95,488.14,515.36,525.04,534.32,547.22,563.35,582.3,604.89,630.29,659.33,687.96,808.41,844.17,883.55,923.38,966.38,1009.38,1056,1103.08,1153.32,1178.21,1228.46,1271.91,1300.42,1336.18,1357.91,1357.91
12,9533,261.15,261.15,462.67,462.67,462.67,462.67,464.52,473.78,484.88,502.93,517.73,548.47,560.07,571.67,578.92,586.65,590.51,594.38,598.25,602.11,609.84,643.86,655.95,667.53,683.66,703.81,727.49,755.7,787.44,823.71,859.48,1009.96,1054.64,1103.84,1153.6,1207.32,1261.04,1319.29,1378.1,1440.87,1471.97,1534.74,1589.02,1624.65,1669.32,1696.47,1696.47
12,9534,284.89,284.89,504.73,504.73,504.73,504.73,506.75,516.84,528.96,548.64,564.79,598.33,610.98,623.63,631.54,639.98,644.19,648.41,652.63,656.85,665.28,702.38,715.57,728.21,745.8,767.79,793.62,824.39,859.02,898.59,937.61,1101.77,1150.51,1204.18,1258.46,1317.07,1375.67,1439.21,1503.37,1571.84,1605.77,1674.25,1733.47,1772.33,1821.07,1850.67,1850.67
12,9535,331.19,331.19,586.76,586.76,586.76,586.76,589.1,600.84,614.92,637.8,656.58,695.57,710.27,724.98,734.17,743.98,748.88,753.79,758.69,763.59,773.4,816.53,831.86,846.56,867,892.56,922.59,958.37,998.62,1044.62,1089.98,1280.82,1337.48,1399.87,1462.98,1531.11,1599.23,1673.1,1747.68,1827.29,1866.73,1946.33,2015.18,2060.36,2117.01,2151.44,2151.44
12,9536,316.67,316.67,561.02,561.02,561.02,561.02,563.27,574.49,587.95,609.83,627.79,665.06,679.13,693.19,701.98,711.35,716.04,720.73,725.42,730.1,739.48,780.72,795.38,809.43,828.98,853.42,882.13,916.34,954.83,998.81,1042.18,1224.65,1278.82,1338.48,1398.82,1463.96,1529.1,1599.73,1671.04,1747.15,1784.87,1860.98,1926.81,1970.01,2024.18,2057.09,2057.09
12,9537,226.76,226.76,401.73,401.73,401.73,401.73,403.34,411.37,421.02,436.68,449.54,476.23,486.3,496.37,502.67,509.38,512.74,516.09,519.45,522.81,529.52,559.05,569.55,579.61,593.61,611.11,631.67,656.16,683.72,715.22,746.28,876.94,915.73,958.44,1001.65,1048.3,1094.94,1145.52,1196.58,1251.08,1278.09,1332.59,1379.73,1410.66,1449.45,1473.02,1473.02
12,9538,231.24,231.24,409.67,409.67,409.67,409.67,411.31,419.5,429.33,445.31,458.42,485.64,495.91,506.18,512.6,519.44,522.87,526.29,529.71,533.14,539.98,570.1,580.8,591.06,605.34,623.18,644.15,669.13,697.23,729.35,761.02,894.26,933.82,977.38,1021.44,1069.01,1116.58,1168.15,1220.22,1275.8,1303.34,1358.92,1406.99,1438.53,1478.09,1502.12,1502.12
12,9539,200.14,200.14,354.57,354.57,354.57,354.57,355.99,363.08,371.59,385.42,396.77,420.33,429.22,438.1,443.66,449.59,452.55,455.51,458.47,461.44,467.36,493.43,502.69,511.57,523.93,539.37,557.52,579.14,603.46,631.26,658.67,774,808.23,845.94,884.07,925.24,966.41,1011.05,1056.12,1104.23,1128.06,1176.16,1217.77,1245.07,1279.31,1300.11,1300.11
12,9540,221.76,221.76,392.89,392.89,392.89,392.89,394.46,402.32,411.75,427.07,439.64,465.75,475.6,485.45,491.6,498.17,501.45,504.73,508.02,511.3,517.86,546.75,557.01,566.85,580.54,597.66,617.76,641.72,668.67,699.48,729.85,857.64,895.57,937.35,979.61,1025.23,1070.85,1120.31,1170.25,1223.55,1249.96,1303.26,1349.36,1379.61,1417.55,1440.6,1440.6
12,9541,246.44,246.44,436.6,436.6,436.6,436.6,438.35,447.08,457.56,474.58,488.55,517.56,528.51,539.45,546.29,553.59,557.24,560.88,564.53,568.18,575.48,607.57,618.98,629.92,645.13,664.15,686.49,713.11,743.06,777.29,811.05,953.05,995.2,1041.63,1088.59,1139.28,1189.98,1244.94,1300.44,1359.67,1389.02,1448.25,1499.48,1533.09,1575.25,1600.86,1600.86
12,9542,204.98,204.98,363.16,363.16,363.16,363.16,364.61,371.88,380.59,394.76,406.38,430.51,439.61,448.71,454.4,460.47,463.51,466.54,469.57,472.61,478.68,505.37,514.86,523.96,536.61,552.43,571.02,593.16,618.07,646.55,674.62,792.74,827.8,866.42,905.48,947.65,989.81,1035.53,1081.69,1130.96,1155.37,1204.64,1247.25,1275.22,1310.28,1331.58,1331.58
